店铺名称,区域,人均消费,菜品分类,口味评分,环境评分,服务评分,分店名称,所在的城市
那都不是锅港式打边炉,金桥,147,打边炉/港式火锅,9.1,8.4,8.9,金桥店,上海
凯宾斯基大酒店·元素西餐厅,陆家嘴,256,自助餐,8.1,9.0,9.0,陆家嘴店,上海
香港百合居,天山,161,粤菜馆,9.0,8.8,8.7,,上海
夏朵花园,复兴西路/丁香花园,259,意大利菜,9.0,9.2,9.1,,上海
泰廊,静安寺,204,泰国菜,8.6,9.2,8.9,,上海
荟廷·晶萃,打浦桥,253,上海本帮菜,9.1,9.1,8.9,凯德晶萃店,上海
汉来海港自助餐厅,七宝,181,自助餐,8.5,9.0,8.8,七宝万科广场店,上海
Kathleen's Waitan,外滩,484,法国菜,8.5,9.2,9.0,外滩店,上海
RAC BAR,复兴西路/丁香花园,123,法国菜,8.5,8.8,8.4,,上海
日矢 HIYA,南京东路,590,日本料理,8.9,9.3,9.2,,上海
Spacelab失重餐厅,世纪大道,144,西餐,8.0,9.1,8.6,,上海
代田家新宿·深夜食堂,虹桥,76,日本料理,9.0,8.2,8.7,虹桥店,上海
Woof Woof,龙华,147,意大利菜,8.5,9.2,8.5,木马公园店,上海
虾趣龙虾,中山公园,155,小龙虾,9.1,8.3,9.0,中山公园店,上海
一棠龙虾,打浦桥,179,小龙虾,9.0,9.0,9.0,日月光中心广场店,上海
潮界,打浦桥,91,潮汕菜,9.2,9.0,9.3,凯德晶萃店,上海
火影忍者一乐拉面,月星环球港,75,日式面条,8.0,8.8,8.7,,上海
哥哥の深夜食堂,外滩,107,日本料理,9.3,9.2,9.3,谷蕃街外滩店,上海
江南里,月星环球港,83,浙菜,8.8,8.8,8.8,环球港店,上海
穹六人间 people 6,衡山路,197,特色菜,7.5,8.8,8.1,,上海
楼上火锅,淮海路,482,打边炉/港式火锅,9.1,8.7,9.1,茂名南路店,上海
吮指香炸鸡,中山公园,30,快餐简餐,8.1,6.9,7.7,,上海
1886德国汽车餐厅,外滩,172,西餐,9.0,9.1,9.0,外滩13号店,上海
香港食盈碗仔翅,静安寺,101,茶餐厅,9.0,8.3,8.5,,上海
L'éclair de Génie法国闪电泡芙,淮海路,111,甜品,8.4,8.6,8.6,,上海
友达面馆,大宁地区,53,面馆,8.6,8.9,8.7,魔都直营店,上海
月湖萃,音乐学院,176,上海本帮菜,9.0,8.9,8.5,,上海
香港肥汁米蘭小锅米线,人民广场,50,小吃快餐,8.3,7.7,8.0,宁波路店,上海
香港發記甜品,新天地,44,甜品,8.3,8.4,8.2,环宇荟旗舰店,上海
炖菜馆,青年路,70,炖菜,9.0,7.3,8.4,,北京
福楼毕斯罗F Bistronome,国贸,380,法国菜,8.7,9.2,9.0,国贸商城店,北京
燕郊烧鸽子,朝阳区,114,东北家常菜,9.0,8.8,8.4,和众店,北京
%arabica,三里屯,45,咖啡厅,8.2,7.7,8.4,太古里三里屯北区店,北京
汉巴味德自助餐厅,六里桥/丽泽桥,99,自助餐,8.7,8.8,8.6,银座和谐广场店,北京
Met Petal遇见花瓣,朝阳门,175,西餐,9.0,9.2,9.2,,北京
火炉火自助餐,五道口,81,韩国料理,8.7,8.2,8.3,五道口购物中心店,北京
河沿肉饼 Beijing Pie,王府井/东单,58,京菜,9.1,8.9,9.0,东城总店,北京
翠园,王府井/东单,327,粤菜馆,8.8,9.1,8.5,王府中环店,北京
Mr.Fish鱼鲜生海鲜放题,国贸,411,自助餐,8.6,9.1,8.7,,北京
小院儿,高碑店,196,私房菜,9.1,9.2,9.0,,北京
文府大厨,西单,303,自助餐,8.3,8.4,8.4,,北京
会飞的鸡Flying chicken,双井,55,韩国料理,9.0,8.0,9.0,双井店,北京
捷信牛奶甜品世家,五道口,34,甜品,7.8,8.1,7.7,五道口店,北京
熔时·FIRESIDE,朝外大街,144,创意菜,9.0,9.2,9.1,世界城店,北京
麻六甲下酒菜,望京,104,小龙虾,8.5,8.5,8.6,望京店,北京
马路边边串串香,双井,109,串串香,9.0,8.6,8.6,双井店,北京
四季民福烤鸭店,王府井/东单,156,烤鸭,9.2,9.2,9.2,故宫店,北京
梧桐,酒仙桥,357,烤鸭,9.1,9.3,9.2,,北京
Tomacado花厨,王府井/东单,206,西餐,8.7,9.3,9.1,王府中環店,北京
拾久,双井,227,烤鸭,9.1,9.1,8.9,,北京
马爹利好奇餐厅,前门,572,创意菜,7.8,7.5,8.1,,北京
聚十三地摊烤牛肉,十里堡,128,融合烤肉,8.9,8.6,8.8,,北京
三泉冷面,望京,61,韩国料理,9.0,8.6,8.9,旺角店,北京
日进一片海,三里屯,234,海鲜,8.8,8.8,8.9,三里屯总店,北京
胡大饭馆,北新桥/簋街,162,川菜家常菜,9.0,8.5,8.6,簋街总店,北京
满恒记清真涮羊肉,阜成门,100,老北京火锅,9.2,8.5,8.9,,北京
塔哈尔,崇文门,87,新疆菜,8.2,8.8,8.6,国瑞购物中心店,北京
大黄家柴犬主题咖啡店,三里屯,88,咖啡厅,8.3,8.7,8.8,,北京
千牛刀·霸气牛肉锅,望京,124,牛羊肉火锅,9.2,9.0,9.1,,北京
